Proprietary_Name,Proper_Name,Unbranded_Biologic_Manufacturer,Reference_Product,Related_Products,Package_Count,Item_Volume_mL,Total_Volume_mL,Dosage_Form,Units_per_mL,Total_Units_per_Package,Beyond_Use_Date_Days
Admelog,insulin lispro,,,,1,3,3,vial,100,300,28
Admelog,insulin lispro,,,,1,10,10,vial,100,1000,28
Admelog,insulin lispro,,,,5,3,15,SoloStar Pen,100,1500,28
Apidra,insulin glulisine,,,,1,10,10,vial,100,1000,28
Apidra,insulin glulisine,,,,5,3,15,SoloStar Pen,100,1500,28
Fiasp,insulin aspart,,,,5,3,15,FlexTouch Pen,100,1500,28
Fiasp,insulin aspart,,,,5,3,15,PenFill Cartridge,100,1500,28
Fiasp,insulin aspart,,,,1,3,3,vial,100,300,28
Fiasp,insulin aspart,,,,1,10,10,vial,100,1000,28
Humalog,insulin lispro,,,,5,3,15,Cartridge,100,1500,28
Humalog,insulin lispro,,,,5,3,15,KwikPen,100,1500,28
Humalog,insulin lispro,Eli Lilly,,,5,3,15,Junior KwikPen,100,1500,28
Humalog,insulin lispro,,,,2,3,6,KwikPen,200,1200,28
Lyumjev,insulin lispro-aabc,,,,1,10,10,vial,100,1000,28
Lyumjev,insulin lispro-aabc,,,,5,3,15,KwikPen,100,1500,28
NovoLog,insulin aspart,,,,2,3,6,KwikPen,200,1200,28
NovoLog,insulin aspart,,,,1,10,10,vial,100,1000,28
NovoLog,insulin aspart,Novo Nordisk,,,5,3,15,FlexPen,100,1500,28
NovoLog,insulin aspart,Novo Nordisk,,,5,3,15,Cartridge,100,1500,28
Rezvilog,insulin aspart-szjj,,,,1,10,10,vial,100,1000,28
Rezvilog,insulin aspart-szjj,,,,5,3,15,SoloStar Pen,100,1500,28
Humulin R,regular insulin human (OTC),,,,1,3,3,vial,100,300,31
Humulin R,regular insulin human (OTC),,,,1,10,10,vial,100,1000,31
Humulin R U-500,regular insulin human,,,,1,20,20,vial,500,10000,40
Humulin R U-500,regular insulin human,,,,2,3,6,KwikPen,500,3000,28
Novolin R,regular insulin human (OTC),,,,1,10,10,vial,100,1000,42
Novolin R,regular insulin human (OTC),,,,5,3,15,FlexPen,100,1500,28
Humulin N,insulin isophane human (OTC),,,,1,3,3,vial,100,300,31
Humulin N,insulin isophane human (OTC),,,,1,10,10,vial,100,1000,31
Humulin N,insulin isophane human (OTC),,,,5,3,15,KwikPen,100,1500,14
Novolin N,insulin isophane human (OTC),,,,1,10,10,vial,100,1000,42
Novolin N,insulin isophane human (OTC),,,,5,3,15,FlexPen,100,1500,28
Basaglar,insulin glargine,,,,5,3,15,KwikPen,100,1500,28
Lantus,insulin glargine,,Rezvoglar; Semglee,Rezvoglar; Semglee,1,10,10,vial,100,1000,28
Lantus,insulin glargine,Winthrop,Rezvoglar; Semglee,Rezvoglar; Semglee,5,3,15,SoloStar Pen,100,1500,28
Levemir,insulin detemir,,,,1,10,10,vial,100,1000,42
Levemir,insulin detemir,,,,5,3,15,FlexTouch Pen,100,1500,42
Rezvoglar,insulin glargine-agir,,Lantus; Semglee,Lantus; Semglee,5,3,15,KwikPen,100,1500,28
Semglee,insulin glargine-yfgn,,Lantus; Rezvoglar,Lantus; Rezvoglar,1,10,10,vial,100,1000,28
Semglee,insulin glargine-yfgn,Mylan,Lantus; Rezvoglar,Lantus; Rezvoglar,5,3,15,Pen,100,1500,28
Toujeo,insulin glargine,,,,3,1.5,4.5,SoloStar Pen,300,1350,56
Toujeo,insulin glargine,,,,2,3,6,(Max) SoloStar Pen,300,1800,56
Tresiba,insulin degludec,,,,1,10,10,vial,100,1000,56
Tresiba,insulin degludec,,,,5,3,15,FlexTouch Pen,100,1500,56
Tresiba,insulin degludec,Novo Nordisk,,,3,3,9,FlexTouch Pen,200,1800,56
Humalog Mix 50/50,insulin lispro protamine and insulin lispro,,,,1,10,10,vial,100,1000,28
Humalog Mix 50/50,insulin lispro protamine and insulin lispro,,,,5,3,15,KwikPen,100,1500,10
Humalog Mix 75/25,insulin lispro protamine and insulin lispro,,,,1,10,10,vial,100,1000,28
Humalog Mix 75/25,insulin lispro protamine and insulin lispro,Eli Lilly,,,5,3,15,KwikPen,100,1500,10
Humulin 70/30,human insulin isophane and human insulin (OTC),,,,1,3,3,vial,100,300,31
Humulin 70/30,human insulin isophane and human insulin (OTC),,,,1,10,10,vial,100,1000,31
Humulin 70/30,human insulin isophane and human insulin (OTC),,,,5,3,15,KwikPen,100,1500,10
Novolin 70/30,human insulin isophane and human insulin (OTC),,,,1,10,10,vial,100,1000,42
Novolin 70/30,human insulin isophane and human insulin (OTC),,,,5,3,15,FlexPen,100,1500,28
Novolog Mix 70/30,insulin aspart protamine and insulin aspart,,,,1,10,10,vial,100,1000,28
Novolog Mix 70/30,insulin aspart protamine and insulin aspart,Novo Nordisk,,,5,3,15,FlexPen,100,1500,14
