S.N,SMARTS CODE,REMARK,CHINESE REMARK
1,"('?', 0)",ISOTOPE, 有无同位素
2,"('[#104]', 0)",limit the above def'n since the RDKit only accepts up to #104,目前RDKIT元素类型只更新到103号
3,"('[#32,#33,#34,#50,#51,#52,#82,#83,#84]', 0)","IVa,Va,VIa Rows 4-6",
4,"('[Ac,Th,Pa,U,Np,Pu,Am,Cm,Bk,Cf,Es,Fm,Md,No,Lr]', 0)",Actinide,锕系元素
5,"('[Sc,Ti,Y,Zr,Hf]', 0)","Group IIIB,IVB",4-6 周期 鈧族 鈦族元素 
6,"('[La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu]', 0)",Lanthanide,镧系元素
7,"('[V,Cr,Mn,Nb,Mo,Tc,Ta,W,Re]', 0)","Group VB,VIB,VIIB",4-6周期 钒族、铬族、锰族元素
8,"('[!#6;!#1]1~*~*~*~1', 0)",QAAA@1,非碳元非氢元4元环，任意键
9,"('[Fe,Co,Ni,Ru,Rh,Pd,Os,Ir,Pt]', 0)",Group VIII,4-6周期，铁族、钴族、镍族元素
10,"('[Be,Mg,Ca,Sr,Ba,Ra]', 0)",Group IIa (Alkaline earth),碱土
11,"('*1~*~*~*~1', 0)",4M Ring,通配4元环，任意键，任意元素
12,"('[Cu,Zn,Ag,Cd,Au,Hg]', 0)","Group IB,IIB",4-6周期，铜族、锌族元素
13,"('[#8]~[#7](~[#6])~[#6]', 0)",ON(C)C,?
14,"('[#16]-[#16]', 0)",S-S,硫单键
15,"('[#8]~[#6](~[#8])~[#8]', 0)",OC(O)O,?
16,"('[!#6;!#1]1~*~*~1', 0)",QAA@1,非碳基 任意2基团 组成的逆时针三元环
17,"('[#6]#[#6]', 0)",CTC,双碳三键
18,"('[#5,#13,#31,#49,#81]', 0)",Group IIIA,除第7周期外的硼族元素
19,"('*1~*~*~*~*~*~*~1', 0)",7M Ring,通配7元环，任意键，任意元素
20,"('[#14]', 0)",Si,硅元素
21,"('[#6]=[#6](~[!#6;!#1])~[!#6;!#1]', 0)",C=C(Q)Q,碳双键链接非碳非氢元素
22,"('*1~*~*~1', 0)",3M Ring,3元环，任意元素，任意键
23,"('[#7]~[#6](~[#8])~[#8]', 0)",NC(O)O,?
24,"('[#7]-[#8]', 0)",N-O,氮、氧单键
25,"('[#7]~[#6](~[#7])~[#7]', 0)",NC(N)N,?
26,"('[#6]=;@[#6](@*)@*', 0)",C$=C($A)$A,
27,"('[I]', 0)",I,碘元素
28,"('[!#6;!#1]~[CH2]~[!#6;!#1]', 0)",QCH2Q,亚甲基与非碳连接
29,"('[#15]', 0)",P,磷元素
30,"('[#6]~[!#6;!#1](~[#6])(~[#6])~*', 0)",CQ(C)(C)A,
31,"('[!#6;!#1]~[F,Cl,Br,I]', 0)",QX,非碳基接卤素
32,"('[#6]~[#16]~[#7]', 0)",CSN,碳硫氮任意键连接
33,"('[#7]~[#16]', 0)",NS,氮硫任意键连接
34,"('[CH2]=*', 0),",CH2=A,亚甲基双键连接任意
35,"('[Li,Na,K,Rb,Cs,Fr]', 0)",Group IA (Alkali Metal),碱金属族
36,"('[#16R]', 0)",S Heterocycle,硫环
37,"('[#7]~[#6](~[#8])~[#7]', 0)",NC(O)N,?
38,"('[#7]~[#6](~[#6])~[#7]', 0)",NC(C)N,?
39,"('[#8]~[#16](~[#8])~[#8]', 0)",OS(O)O,?
40,"('[#16]-[#8]', 0)",S-O,硫氧单键
41,"('[#6]#[#7]', 0)",CTN,碳氮三键
42,"('F', 0)",F,氟元素
43,"('[!#6;!#1;!H0]~*~[!#6;!#1;!H0]', 0)",QHAQH,?
44,"('[!#1;!#6;!#7;!#8;!#9;!#14;!#15;!#16;!#17;!#35;!#53]', 0)",other,有元素非碳、非氢、非氮、非氧、非硅、非磷、非卤素
45,"('[#6]=[#6]~[#7]', 0)",C=CN,
46,"('Br', 0), ",Br,溴元素
47,"('[#16]~*~[#7]', 0)",SAN,硫+任意+氮
48,"('[#8]~[!#6;!#1](~[#8])(~[#8])', 0)",OQ(O)O,
49,"('[!+0]', 0)",charge,电子
50,"('[#6]=[#6](~[#6])~[#6]', 0)",C=C(C)C,
51,"('[#6]~[#16]~[#8]', 0)",CSO,碳硫氧任意键连接
52,"('[#7]~[#7]', 0)",NN,氮氮任意连接
53,"('[!#6;!#1;!H0]~*~*~*~[!#6;!#1;!H0]', 0)",QHAAAQH,非碳基团接任意3元素接非碳基团
54,"('[!#6;!#1;!H0]~*~*~[!#6;!#1;!H0]', 0)",QHAAQH,非碳基团接任意2元素接非碳基团
55,"('[#8]~[#16]~[#8]', 0)",OSO,氧硫氧任意键
56,"('[#8]~[#7](~[#8])~[#6]', 0)",ON(O)C,
57,"('[#8R]', 0)",O Heterocycle,氧环
