Temperature;ThermalConductivity
21.0;9.8
38.0;10.1
93.0;10.8
204.0;12.5
316.0;14.1
427.0;15.7
538.0;17.5
649.0;19.0
760.0;20.8
871.0;22.8
982;25.2
