aar,Afar
abk,Abkhaze
afr,Afrikaans
aka,Akan
amh,Amharique
ara,Arabe
arg,Aragonais
asm,Assamais
ava,Avar
ave,Avestique
aym,Aymara
aze,Azéri
bak,Bachkir
bam,Bambara
bel,Biélorusse
ben,Bengali
bis,Bichlamar
bod,Tibétain
bos,Bosniaque
bre,Breton
bul,Bulgare
cat,Catalan
ces,Tchèque
cha,Chamorro
che,Tchétchène
chv,Tchouvache
cor,Cornique
cos,Corse
cre,Cree
cym,Gallois
dan,Danois
deu,Allemand
div,Maldivien
dzo,Dzongkha
ell,Grec
eng,Anglais
epo,Espéranto
est,Estonien
eus,Basque
ewe,Éwé
fao,Féroïen
fas,Persan
fij,Fidjien
fil,Filipino
fin,Finnois
fra,Français
fry,Frison
ful,Peul
gla,Écossais
gle,Irlandais
glg,Galicien
glv,Manx
grn,Guarani
guj,Gujarâtî
hat,Haïtien
hau,Haoussa
hbs,Serbo-Croate
heb,Hébreu
her,Herero
hin,Hindi
hmo,Hiri Motu
hrv,Croate
hun,Hongrois
hye,Arménien
ibo,Igbo
ido,Ido
iii,Nuosu
iku,Inuktitut
ile,Interlingue
ina,Interlingua
ind,Indonésien
ipk,Inupiaq
isl,Islandais
ita,Italien
jav,Javanais
jpn,Japonais
kal,Groenlandais
kan,Kannada
kas,Kashmiri
kat,Géorgien
kau,Kanouri
kaz,Kazakh
khm,Khmer
kik,Kikuyu
kin,Rwanda
kir,Kirghize
kom,Kom
kon,Kongo
kor,Coréen
kua,Kuanyama
kur,Kurde
lao,Lao
lat,Latin
lav,Letton
lim,Limbourgeois
lin,Lingala
lit,Lituanien
ltz,Luxembourgeois
lub,Luba-Katanga
lug,Ganda
mah,Marshall
mal,Malayalam
mar,Marathe
mkd,Macédonien
mlg,Malgache
mlt,Maltais
mon,Mongol
mri,Maori
msa,Malais
mya,Birman
nau,Nauruan
nav,Navaho
nbl,Ndébélé du Sud
nde,Ndébélé du Nord
ndo,Ndonga
nep,Népalais
nld,Néerlandais
nno,Norvégien Nynorsk
nob,Norvégien Bokmål
nor,Norvégien
nya,Nyanja
oci,Occitan
oji,Ojibwa
ori,Oriya
orm,Galla
oss,Ossète
pan,Pendjabi
pli,Pali
pol,Polonais
por,Portugais
pus,Pachto
que,Quechua
roh,Rhéto-Roman
ron,Roumain
run,Rundi
rus,Russe
sag,Sango
san,Sanskrit
sin,Singhalais
slk,Slovaque
slv,Slovène
sme,Sami du Nord
smo,Samoan
sna,Shona
snd,Sindhî
som,Somali
sot,Sotho du Sud
spa,Espagnol
sqi,Albanais
srd,Sarde
srp,Serbe
ssw,Swati
sun,Soundanais
swa,Swahili
swe,Suédois
tah,Tahitien
tam,Tamoul
tat,Tatar
tel,Télougou
tgk,Tadjik
tgl,Tagalog
tha,Thaï
tir,Tigrigna
ton,Tongan
tsn,Tswana
tso,Tsonga
tuk,Turkmène
tur,Turc
twi,Twi
uig,Ouïgour
ukr,Ukrainien
urd,Ourdou
uzb,Ouzbek
ven,Venda
vie,Vietnamien
vol,Volapük
wln,Wallon
wol,Wolof
xho,Xhosa
yid,Yiddish
yor,Yoruba
zha,Zhuang
zho,Chinois
zul,Zoulou
