Proprietary_Name,Proper_Name,NDC,Dosage_Form,Strength,Package_Description
Humira,adalimumab,00074-3799-02,Syringe kit,40 mg/0.8 ml,2 ea
Humira Pen,adalimumab,00074-4339-02,Pen injector,40 mg/0.8 ml,2 ea
Humira (CF),adalimumab,00074-0817-02,Syringe kit,10 mg/0.1 mL,2 ea
Humira (CF),adalimumab,00074-0616-02,Syringe kit,20 mg/0.2 ml,2 ea
Humira (CF),adalimumab,00074-0243-02,Syringe kit,40 mg/0.4 mL,2 ea
Humira (CF) Pen,adalimumab,00074-0554-02,Pen injector kit,40 mg/0.4 ml,2 ea
Humira (CF) Pen,adalimumab,00074-0124-02,Pen injector kit,80 mg/0.8 ml,2 ea
Humira (CF) Pediatric Crohn's,adalimumab,00074-0067-02,Syringe kit,40 mg/0.4 ml-80 mg/0.8 mL,2 ea
Humira (CF) Pediatric Crohn's,adalimumab,00074-2540-03,Syringe kit,80 mg/0.8 ml,3 ea
Humira (CF) Pen Crohns-UC-HS,adalimumab,00074-4339-06,Pen injector kit,40 mg/0.8 ml,6 ea
Humira (CF) Pen Crohns-UC-HS,adalimumab,00074-0124-03,Pen injector kit,80 mg/0.8 ml,3 ea
Humira (CF) Pen Pediatric UC,adalimumab,00074-0124-04,Pen injector kit,80 mg/0.8 ml,4 ea
Humira Pen Psor-Uveits-Adol HS,adalimumab,00074-4339-07,Pen injector,40 mg/0.8 ml,4 ea
Humira (CF) Pen Psor-UV-Adol-HS,adalimumab,00074-1539-03,Pen injector kit,40 mg/0.4 mL-80 mg/0.8 ml,3 ea
Enbrel,etanercept,58406-0010-04,Syringe,25 mg/0.5 mL,2 ml
Enbrel,etanercept,58406-0021-04,Syringe,50 mg/ml,4 mL
Enbrel,etanercept,58406-0032-04,Pen injector,50 mg/mL,4 mL
Enbrel,etanercept,58406-0044-04,Cartridge,50 mg/mL,4 mL
Enbrel,etanercept,58406-0055-04,Vial,25 mg/0.5 ml,2 mL
Enbrel,etanercept,58406-0425-34,Vial,25 mg/vial,4 ea
Simponi,golimumab,57894-0070-01,Syringe,50 mg/0.5 ml,0.5 mL
Simponi,golimumab,57894-0071-01,Syringe,100 mg/ml,1 mL
Simponi,golimumab,57894-0070-02,Autoinjector,50 mg/0.5 mL,0.5 mL
Simponi,golimumab,57894-0071-02,Autoinjector,100 mg/ml,1 mL
Cimzia,certolizumab pegol,50474-0710-79,Syringe kit,"400 mg/2ml (200 mg/ml x2)",1 ea
Cimzia,certolizumab pegol,50474-0710-81,Syringe kit,"400 mg/2ml (200 mg/ml x2)",3 ea
Kineret,anakinra,66658-0234-07,Syringe,100 mg/0.67 mL,4.69 mL
Kineret,anakinra,66658-0234-28,Syringe,100 mg/0.67 mL,18.76 ml
Stelara,ustekinumab,57894-0060-03,Syringe,45 mg/0.5 mL,0.5 mL
Stelara,ustekinumab,57894-0061-03,Syringe,90 mg/ml,1 mL
Stelara,ustekinumab,57894-0060-02,Vial,45 mg/0.5 mL,0.5 mL
Aimovig,erenumab,55513-0841-01,Autoinjector,70 mg/mL,1 ml
Aimovig,erenumab,55513-0843-01,Autoinjector,140 mg/mL,1 ml
Ajovy,fremanezumab,51759-0204-10,Syringe,225 mg/1.5 mL,1.5 ml
Ajovy,fremanezumab,51759-0202-10,Autoinjector,225 mg/1.5 ml,1.5 ml
Ajovy,fremanezumab,51759-0202-22,Autoinjector,225 mg/1.5 ml,4.5 mL
Emgality,galcanezumab,00002-2377-11,Syringe,120 mg/ml,1 mL
Emgality,galcanezumab,00002-3115-09,Syringe,"300 mg/3 ml (100 mg/ml x3)",3 mL
Emgality,galcanezumab,00002-1436-11,Pen injector,120 mg/ml,1 mL
Botox,onabotulinumtoxinA,00023-1145-01,Vial,100 units/vial,1 ea
Botox,onabotulinumtoxinA,00023-3921-02,Vial,200 units/vial,1 ea
Neulasta,pegfilgrastim,55513-0190-01,Syringe,6 mg/0.6 ml,0.6 mL
Neulasta,pegfilgrastim,55513-0192-01,Onpro Injection Kit,6 mg/0.6 ml,0.6 mL
