Property,Type,Units,Description,URL
"P#Thermomechanical#{model}",float,atm,"The pressure.",https://en.wikipedia.org/wiki/Pressure
"T#Thermomechanical#{model}",float,K,"The temperature",https://en.wikipedia.org/wiki/Temperature
"bulk modulus#Thermomechanical#{model}",float,GPa,"Bulk modulus",https://en.wikipedia.org/wiki/Bulk_modulus
"shear modulus#Thermomechanical#{model}",float,GPa,"Shear modulus",https://en.wikipedia.org/wiki/Shear_modulus
"Young modulus#Thermomechanical#{model}",float,GPa,"Young modulus",https://en.wikipedia.org/wiki/Young%27s_modulus
"Poisson ratio#Thermomechanical#{model}",float,,"Poissons ratio",https://en.wikipedia.org/wiki/Poisson%27s_ratio
"transverse sound velocity#Thermomechanical#{model}",float,m/s,"The transverse sound velocity",https://en.wikipedia.org/wiki/Speed_of_sound
"longitudinal sound velocity#Thermomechanical#{model}",float,m/s,"The longitudinal sound velocity",https://en.wikipedia.org/wiki/Speed_of_sound
"mean sound velocity#Thermomechanical#{model}",float,m/s,"The mean sound velocity",https://en.wikipedia.org/wiki/Speed_of_sound
"Debye temperature#Thermomechanical#{model}",float,K,"The Debye temperature",https://en.wikipedia.org/wiki/Debye_model
"Pugh's ductility criterion#Thermomechanical#{model}",float,,"Pugh's ductility criterion",https://en.wikipedia.org/wiki/Metal
"Pcauchy#Thermomechanical#{model}",float,GPa,"Cauchy pressure",
"Vickers hardness [Chen]#Thermomechanical#{model}",float,,"Vickers hardness -- Chen's model",https://en.wikipedia.org/wiki/Vickers_hardness_test
"Vickers hardness [Tian]#Thermomechanical#{model}",float,,"Vickers hardness -- Tian's model",https://en.wikipedia.org/wiki/Vickers_hardness_test
"Gruneisen parameter#Thermomechanical#{model}",float,,"Gruneisen parameter",https://en.wikipedia.org/wiki/Grüneisen_parameter
"Cv#Thermomechanical#{model}",float,J/mol/K,"Constant volume heat capacity",https://en.wikipedia.org/wiki/Heat_capacity
"U - U0#Thermomechanical#{model}",float,kJ/mol,"Internal energy",https://en.wikipedia.org/wiki/Internal_energy
"A - U0#Thermomechanical#{model}",float,kJ/mol,"Helmoltz free energy",https://en.wikipedia.org/wiki/Helmholtz_free_energy
"S#Thermomechanical#{model}",float,J/mol/K,"Entropy",https://en.wikipedia.org/wiki/Entropy
"alpha#Thermomechanical#{model}",json,1/K,"Linear coefficient of thermal expansion",https://en.wikipedia.org/wiki/Thermal_expansion
