show_id,type,title,release,runtime,episode_count,popularity
s468,Movie,Diary of a Wimpy Kid: The Long Haul,2017-05-19,91,,19.235
s308,TV Show,Wicked Tuna: Outer Banks,2014-08-17,4635,103,6.052
s28,TV Show,Obi-Wan Kenobi,2022-05-26,279,6,820.743
s536,TV Show,Buried Secrets Of The Bible With Albert Lin,2019-03-11,90,2,4.316
s446,TV Show,UFO Europe: The Untold Stories,2012-11-13,,7,3.258
s433,Movie,Marvel Studios' Ant-Man and the Wasp,2018-07-04,119,,68.65
s644,TV Show,Marvel's Runaways,2017-11-21,1650,33,36.669
s820,Movie,Disney Descendants,2015-07-31,112,,81.146
s772,Movie,Camp Rock,2008-06-20,98,,17.415
s1432,Movie,Brave Little Tailor,1938-09-23,9,,7.077
s800,TV Show,Coop & Cami Ask The World (Shorts),2018-10-12,1470,49,9.388
s1127,Movie,Phineas and Ferb the Movie: Across the 2nd Dimension,2011-08-05,78,,21.345
s507,Movie,Walt & El Grupo,2008-09-08,106,,2.284
s6,Movie,Becoming Cousteau,2021-10-22,94,,4.183
s1170,TV Show,Rocky Mountain Animal Rescue,2018-03-03,,8,0.6
s1404,Movie,Whispers: An Elephant's Tale,2000-10-03,72,,2.942
s1125,TV Show,Phil of the Future,2004-06-18,946,43,9.527
s1250,Movie,The Art of Skiing,1941-11-14,8,,3.707
s998,TV Show,Lab Rats,2012-02-27,,96,30.319
s457,Movie,Lost Temple of the Inca,2020-02-09,0,,2.842
s635,TV Show,America's National Parks,2015-12-06,344,8,2.095
s1067,Movie,Meet the Deedles,1998-03-27,93,,8.383
s1333,Movie,The Santa Clause 3: The Escape Clause,2006-11-01,98,,14.641
s480,TV Show,Animal ER,2016-09-10,560,14,1.289
s1085,Movie,Miracle at Midnight,1998-03-17,90,,2.444
s229,TV Show,Wander Over Yonder,2013-09-13,869,79,11.413
s958,Movie,I'll Be Home for Christmas,1998-11-13,86,,8.764
s377,Movie,Disney Channel Halloween House Party,2020-10-16,23,,3.196
s669,TV Show,One Strange Rock,2018-03-26,470,10,6.671
s534,TV Show,Birth of Europe,2012-04-17,138,3,0.679
s173,Movie,Flicka,2006-10-20,95,,11.533
s1323,Movie,The Princess Diaries,2001-08-03,115,,54.71
s13,Movie,The Pixar Story,2007-08-28,87,,9.58
s537,TV Show,Disney Prop Culture,2020-05-01,263,8,3.091
s376,Movie,Prep & Landing: Naughty vs. Nice,2011-12-05,22,,5.199
s145,Movie,Garfield,2004-06-10,80,,90.753
s886,TV Show,Fantastic Four (Series),1994-09-24,572,26,11.054
s1106,Movie,Noelle,2020-11-20,100,,13.702
s1144,Movie,Pollyanna,1960-05-19,134,,9.532
s1069,Movie,Melody Time,1948-05-27,75,,12.433
s41,Movie,Under the Helmet: The Legacy of Boba Fett,2021-11-12,21,,7.456
s120,TV Show,Dug Days,2021-09-01,50,5,30.242
s475,TV Show,Cosmos: A Spacetime Odyssey,2014-03-09,1800,30,33.791
s227,TV Show,The Incredible Hulk,1977-11-04,5100,85,25.023
s1093,Movie,Motocrossed,2001-02-16,91,,9.542
s1086,Movie,Miracle in Lane 2,2000-05-13,89,,3.891
s588,Movie,Sea Scouts,1939-06-30,8,,2.334
s161,TV Show,Meet Spidey and His Amazing Friends (Shorts),2021-08-06,,61,46.079
s740,Movie,Bambi II,2006-01-26,72,,33.567
s1363,Movie,Three Little Pigs,1933-05-27,8,,11.498
s370,Movie,Ultimate Viking Sword,2019-03-11,44,,1.186
s445,Movie,The Peanuts Movie,2015-11-01,88,,27.593
s2,Movie,Ernest Saves Christmas,1988-11-11,95,,8.186
s549,TV Show,United States Of Animals,2016-04-29,264,12,0.6
s1373,Movie,Tinker Bell and the Great Fairy Rescue,2010-07-29,76,,44.783
s1157,Movie,Recess: School's Out,2001-01-27,82,,17.492
s1132,Movie,Pirates of the Caribbean: At World's End,2007-05-19,169,,208.193
s454,Movie,Hunt for the Abominable Snowman,2011-04-05,45,,1.223
s133,TV Show,America's Funniest Home Videos: Animal Edition,2021-06-11,,20,1.598
s1076,Movie,Mickey's Delayed Date,1947-10-03,7,,4.417
s57,Movie,Rookie of the Year,1993-07-07,103,,12.517
s871,Movie,Dumbo,1941-10-01,64,,64.633
s136,TV Show,Gabby Duran And The Unsittables,2019-10-11,1025,41,8.962
s1427,Movie,Zenon: The Zequel,2001-01-12,100,,6.318
s752,TV Show,Big Hero 6 The Series (Shorts),2017-11-20,,92,52.084
