Brand_Name,Generic_AG_Available,Generic_AB_Rating,Retail_Package_Value,Retail_Package_Unit,Retail_Puffs_per_Package,Discard_After_Opening_Days,Discard_After_Opening_Note
Advair Diskus,TRUE,AB,60,EA,60,30,"1 month"
Advair HFA,TRUE,,12,GM,120,,n/a
AirDuo RespiClick,TRUE,,1,EA,60,30,"30 days"
AirSupra,FALSE,,10.7,GM,120,365,"12 months"
Albuterol HFA (ProAir),TRUE,AB2,8.5,GM,200,,n/a
Albuterol HFA (Proventil),TRUE,AB1,6.7,GM,200,,n/a
Alvesco,FALSE,,6.1,GM,60,,n/a
Anoro Ellipta,FALSE,,60,EA,30,42,"6 weeks"
Arnuity Ellipta,FALSE,,30,EA,30,42,"6 weeks"
Asmanex Twisthaler 110 mcg,FALSE,,1,EA,30,45,"45 days"
Asmanex Twisthaler 220 mcg,FALSE,,1,EA,60,45,"45 days"
Asmanex Twisthaler 220 mcg,FALSE,,1,EA,120,45,"45 days"
Asmanex HFA,FALSE,,13,GM,120,,n/a
Atrovent HFA 17 mcg,FALSE,,12.9,GM,200,,n/a
Bevespi Aerosphere,FALSE,,10.7,GM,120,90,"3 months"
Breo Ellipta,TRUE,,60,EA,30,42,"6 weeks"
Breztri Aerosphere,FALSE,,10.7,GM,120,90,"3 months"
Combivent Respimat,FALSE,,4,GM,120,90,"3 months"
Dulera,FALSE,,13,GM,120,,n/a
Flovent Diskus,TRUE,,60,EA,60,,"6 weeks (50 mcg), 2 mo (100, 250 mcg)"
Flovent HFA 110 and 220 mcg,TRUE,,12,GM,120,,n/a
Incruse Ellipta,FALSE,,30,EA,30,42,"6 weeks"
ProAir Digihaler,FALSE,,1,EA,200,395,"13 months"
ProAir RespiClick,FALSE,,1,EA,200,395,"13 months"
Pulmicort Flexhaler 90 mcg,FALSE,,1,EA,60,,n/a
Pulmicort Flexhaler 180 mcg,FALSE,,1,EA,120,,n/a
Qvar RediHaler,FALSE,,10.6,GM,120,,n/a
Serevent Diskus,FALSE,,60,EA,60,42,"6 weeks"
Spiriva HandiHaler,FALSE,AB,30,EA,30,,n/a
Spiriva HandiHaler,FALSE,AB,90,EA,90,,n/a
Spiriva Respimat 1.25 mcg,FALSE,,4,GM,60,90,"3 months"
Spiriva Respimat 2.5 mcg,FALSE,,4,GM,60,90,"3 months"
Stiolto Respimat,FALSE,,4,GM,60,90,"3 months"
Striverdi Respimat,FALSE,,4,GM,60,90,"3 months"
Symbicort HFA,TRUE,AB,10.2,GM,120,90,"3 months"
Trelegy Ellipta,FALSE,,60,EA,30,42,"6 weeks"
Tudorza Pressair,FALSE,,1,EA,30,45,"45 days"
Tudorza Pressair,FALSE,,1,EA,60,45,"45 days"
Ventolin HFA,TRUE,,18,GM,200,365,"12 months"
Xopenex HFA,TRUE,,15,GM,200,,n/a
