Proprietary_Name,Proper_Name,Generic_Code,Dosage_Form,Strength,Item_Volume_ml,Package_Item_Count,Package_Volume_ml,Min_Billing_Quantity,Max_Billing_Quantity,Billing_Unit
Abilify Maintena,aripiprazole ER injection,,Vial,"300 mg",,,,1,1,ea
Abilify Maintena,aripiprazole ER injection,,Vial,"400 mg",,,,1,1,ea
Abilify Maintena,aripiprazole ER injection,,Syringe,"300 mg",,,,1,1,ea
Abilify Maintena,aripiprazole ER injection,,Syringe,"400 mg",,,,1,1,ea
Invega Sustenna,paliperidone palmitate ER injection,,Syringe,39 mg/0.25 ml,,,,0.25,0.25,ml
Invega Sustenna,paliperidone palmitate ER injection,,Syringe,78 mg/0.5 ml,,,,0.5,0.5,ml
Invega Sustenna,paliperidone palmitate ER injection,,Syringe,117 mg/0.75 ml,,,,0.75,0.75,ml
Invega Sustenna,paliperidone palmitate ER injection,,Syringe,156 mg/ml,,,,1,1,ml
Invega Sustenna,paliperidone palmitate ER injection,,Syringe,234 mg/1.5 ml,,,,1.5,1.5,ml
Invega Trinza,paliperidone palmitate ER injection,,Syringe,273 mg/0.88 ml,,,,0.88,0.88,ml
Invega Trinza,paliperidone palmitate ER injection,,Syringe,410 mg/1.32 mL,,,,1.32,1.32,ml
Invega Trinza,paliperidone palmitate ER injection,,Syringe,546 mg/1.75 ml,,,,1.75,1.75,ml
Invega Trinza,paliperidone palmitate ER injection,,Syringe,819 mg/2.63 ml,,,,2.63,2.63,ml
Invega Hafyera,paliperidone palmitate ER injection,,Syringe,"1,092 mg/3.5 ml",,,,3.5,3.5,ml
Invega Hafyera,paliperidone palmitate ER injection,,Syringe,"1,560 mg/5 ml",,,,5,5,ml
Vitamin B12,cyanocobalamin,AP,Vial,"1,000 mcg/mL",,,,,,ml
Depo-testosterone,testosterone cypionate,AO,Vial,100 mg/ml,,,,,,ml
Depo-testosterone,testosterone cypionate,AO,Vial,200 mg/ml,,,,,,ml
Aveed,testosterone undecanoate,AO,Vial,750 mg/3 ml,,,,3,3,ml
Testosterone enanthate,testosterone enanthate,AO,Vial,200 mg/ml,,,,5,5,ml
Xyosted,testosterone enanthate,,Autoinjector,50 mg/0.5 ml,,,,0.5,2,ml
Xyosted,testosterone enanthate,,Autoinjector,75 mg/0.5 ml,,,,0.5,2,ml
Xyosted,testosterone enanthate,,Autoinjector,100 mg/0.5 ml,,,,0.5,2,ml
Copaxone,glatiramer acetate,AP,Syringe,20 mg/ml,,,,30,30,ml
Copaxone,glatiramer acetate,AP,Syringe,40 mg/mL,,,,12,12,ml
Glucagon,glucagon,AP,Vial,1 mg/vial,,,,1,1,ea
Glucagen,glucagon,,Vial,1 mg/vial,,,,1,1,ea
Gvoke,glucagon,,Auto-injector,1.5 mg/0.1 ml,,,,0.1,0.2,ml
Gvoke,glucagon,,Auto-injector,1 mg/0.2 ml,,,,0.2,0.4,ml
Gvoke,glucagon,,Syringe,1.5 mg/0.1 ml,,,,0.1,0.2,ml
Gvoke,glucagon,,Syringe,1 mg/0.2 ml,,,,0.2,0.4,ml
Gvoke,glucagon,,Vial,1 mg/0.2 ml,,,,0.2,0.2,ml
EpiPen,epinephrine,"AB, BX",Auto-injector,"0.15 mg/0.3 ml",,,,1,2,ea
EpiPen,epinephrine,"AB, BX",Auto-injector,"0.3 mg/0.3 ml",,,,1,2,ea
Lovenox,enoxaparin,AB,Syringe,30 mg/0.3 ml,0.3,10,3,,,
Lovenox,enoxaparin,AB,Syringe,40 mg/0.4 ml,0.4,10,4,,,
Lovenox,enoxaparin,AB,Syringe,60 mg/0.6 ml,0.6,10,6,,,
Lovenox,enoxaparin,AB,Syringe,80 mg/0.8 ml,0.8,10,8,,,
Lovenox,enoxaparin,AB,Syringe,100 mg/mL,1,10,10,,,
Lovenox,enoxaparin,AB,Syringe,120 mg/0.8 ml,0.8,10,8,,,
Lovenox,enoxaparin,AB,Syringe,150 mg/ml,1,10,10,,,
Lovenox,enoxaparin,,Vial,300 mg/3 ml,,,,3,3,ml
